group,Time_min,AvgActivity
002_N2_ETOH_OAP,3555,25
002_N2_ETOH_OAP,3570,23
002_N2_ETOH_OAP,3585,29
002_N2_ETOH_OAP,3600,28
002_N2_ETOH_OAP,3615,29
002_N2_ETOH_OAP,3630,27
002_N2_ETOH_OAP,3645,29
002_N2_ETOH_OAP,3660,22
002_N2_ETOH_OAP,3675,21
002_N2_ETOH_OAP,3690,30
002_N2_ETOH_OAP,3705,21
002_N2_ETOH_OAP,3720,30
002_N2_ETOH_OAP,3735,29
002_N2_ETOH_OAP,3750,22
002_N2_ETOH_OAP,3765,24
002_N2_ETOH_OAP,3780,24
002_N2_ETOH_OAP,3795,28
002_N2_ETOH_OAP,3810,19
002_N2_ETOH_OAP,3825,22
002_N2_ETOH_OAP,3840,25
002_N2_ETOH_OAP,3855,25
002_N2_ETOH_OAP,3870,24
002_N2_ETOH_OAP,3885,26
002_N2_ETOH_OAP,3900,26
002_N2_ETOH_OAP,3915,29
002_N2_ETOH_OAP,3930,30
002_N2_ETOH_OAP,3945,32
002_N2_ETOH_OAP,3960,27
002_N2_ETOH_OAP,3975,23
002_N2_ETOH_OAP,3990,31
002_N2_ETOH_OAP,4005,29
002_N2_ETOH_OAP,4020,27
002_N2_ETOH_OAP,4035,26
002_N2_ETOH_OAP,4050,22
002_N2_ETOH_OAP,4065,21
002_N2_ETOH_OAP,4080,23
002_N2_ETOH_OAP,4095,24
002_N2_ETOH_OAP,4110,20
002_N2_ETOH_OAP,4125,24
002_N2_ETOH_OAP,4140,22
002_N2_ETOH_OAP,4155,26
002_N2_ETOH_OAP,4170,26
002_N2_ETOH_OAP,4185,26
002_N2_ETOH_OAP,4200,19
002_N2_ETOH_OAP,4215,22
002_N2_ETOH_OAP,4230,26
002_N2_ETOH_OAP,4245,18
002_N2_ETOH_OAP,4260,20
002_N2_ETOH_OAP,4275,18
002_N2_ETOH_OAP,4290,17
002_N2_ETOH_OAP,4305,24
002_N2_ETOH_OAP,4320,22
002_N2_ETOH_OAP,4335,25
002_N2_ETOH_OAP,4350,22
002_N2_ETOH_OAP,4365,19
002_N2_ETOH_OAP,4380,17
002_N2_ETOH_OAP,4395,18
002_N2_ETOH_OAP,4410,23
002_N2_ETOH_OAP,4425,24
002_N2_ETOH_OAP,4440,20
002_N2_ETOH_OAP,4455,21
002_N2_ETOH_OAP,4470,23
002_N2_ETOH_OAP,4485,22
002_N2_ETOH_OAP,4500,21
002_N2_ETOH_OAP,4515,20
002_N2_ETOH_OAP,4530,22
002_N2_ETOH_OAP,4545,22
002_N2_ETOH_OAP,4560,22
002_N2_ETOH_OAP,4575,21
002_N2_ETOH_OAP,4590,19
002_N2_ETOH_OAP,4605,23
002_N2_ETOH_OAP,4620,17
002_N2_ETOH_OAP,4635,21
002_N2_ETOH_OAP,4650,24
002_N2_ETOH_OAP,4665,25
002_N2_ETOH_OAP,4680,26
002_N2_ETOH_OAP,4695,25
002_N2_ETOH_OAP,4710,25
002_N2_ETOH_OAP,4725,19
002_N2_ETOH_OAP,4740,20
002_N2_ETOH_OAP,4755,20
002_N2_ETOH_OAP,4770,21
002_N2_ETOH_OAP,4785,16
002_N2_ETOH_OAP,4800,22
002_N2_ETOH_OAP,4815,20
002_N2_ETOH_OAP,4830,21
002_N2_ETOH_OAP,4845,18
002_N2_ETOH_OAP,4860,20
002_N2_ETOH_OAP,4875,17
002_N2_ETOH_OAP,4890,20
002_N2_ETOH_OAP,4905,21
002_N2_ETOH_OAP,4920,18
002_N2_ETOH_OAP,4935,16
002_N2_ETOH_OAP,4950,17
002_N2_ETOH_OAP,4965,17
002_N2_ETOH_OAP,4980,20
002_N2_ETOH_OAP,4995,26
002_N2_ETOH_OAP,5010,24
002_N2_ETOH_OAP,5025,20
002_N2_ETOH_OAP,5040,20
002_N2_ETOH_OAP,5055,20
002_N2_ETOH_OAP,5070,18
002_N2_ETOH_OAP,5085,12
002_N2_ETOH_OAP,5100,18
002_N2_ETOH_OAP,5115,22
002_N2_ETOH_OAP,5130,15
002_N2_ETOH_OAP,5145,15
002_N2_ETOH_OAP,5160,18
